City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhangjiakou,CN,2021-05-31 15:23:46,scattered clouds,40.81,114.8794,60.78,45,50,7.43
1,Lebu,CL,2021-05-31 15:23:46,overcast clouds,-37.6167,-73.65,57.58,95,100,11.88
2,Dingle,PH,2021-05-31 15:23:47,overcast clouds,10.9995,122.6711,78.91,90,100,2.66
3,Saint-Philippe,RE,2021-05-31 15:23:47,few clouds,-21.3585,55.7679,72.99,82,21,6.4
4,Valday,RU,2021-05-31 15:23:48,scattered clouds,57.9747,33.2525,56.91,34,26,2.91
5,Port Elizabeth,ZA,2021-05-31 15:23:48,clear sky,-33.918,25.5701,61.11,72,0,24.16
6,Mar Del Plata,AR,2021-05-31 15:23:49,broken clouds,-38.0023,-57.5575,61.09,58,75,1.01
7,Bethel,US,2021-05-31 15:23:49,overcast clouds,41.3712,-73.414,56.28,82,90,1.99
8,Dikson,RU,2021-05-31 15:22:02,light snow,73.5069,80.5464,31.06,97,100,16.84
9,Rikitea,PF,2021-05-31 15:23:50,clear sky,-23.1203,-134.9692,74.08,66,0,13.47
10,Darhan,MN,2021-05-31 15:23:50,scattered clouds,49.4867,105.9228,42.21,51,30,6.4
11,Horasan,TR,2021-05-31 15:23:50,broken clouds,40.0458,42.1728,71.46,36,70,13.89
12,Mataura,NZ,2021-05-31 15:23:51,overcast clouds,-46.1927,168.8643,49.48,96,100,2.1
13,Klaksvik,FO,2021-05-31 15:23:14,broken clouds,62.2266,-6.589,56.32,95,81,14.5
14,Hilo,US,2021-05-31 15:19:41,moderate rain,19.7297,-155.09,77.29,94,90,4.61
15,Chokurdakh,RU,2021-05-31 15:19:34,scattered clouds,70.6333,147.9167,52.48,54,30,10.16
16,Atar,MR,2021-05-31 15:23:52,clear sky,20.5169,-13.0499,107.71,13,9,4.29
17,Coihaique,CL,2021-05-31 15:20:44,light rain,-45.5752,-72.0662,48.81,93,90,5.75
18,Rotterdam,NL,2021-05-31 15:22:25,clear sky,51.9225,4.4792,76.89,51,0,10.36
19,Sao Filipe,CV,2021-05-31 15:23:52,clear sky,14.8961,-24.4956,74.46,76,9,14.76
20,Busselton,AU,2021-05-31 15:23:53,overcast clouds,-33.65,115.3333,51.08,85,100,6.46
21,Jamestown,US,2021-05-31 15:23:53,clear sky,42.097,-79.2353,65.01,42,1,5.01
22,Punta Arenas,CL,2021-05-31 15:22:02,clear sky,-53.15,-70.9167,32.02,80,0,3.56
23,Cape Town,ZA,2021-05-31 15:22:34,light rain,-33.9258,18.4232,62.1,83,75,1.01
24,Albany,US,2021-05-31 15:19:24,overcast clouds,42.6001,-73.9662,54.91,80,99,6.82
25,Bud,US,2021-05-31 15:23:54,overcast clouds,39.447,-86.1758,66.85,67,97,5.48
26,Bluff,NZ,2021-05-31 15:23:54,overcast clouds,-46.6,168.3333,49.8,66,93,6.04
27,Sao Lourenco Do Sul,BR,2021-05-31 15:23:55,scattered clouds,-31.3653,-51.9783,64.45,47,50,8.68
28,Vila Franca Do Campo,PT,2021-05-31 15:23:55,broken clouds,37.7167,-25.4333,68.41,67,73,9.22
29,Hobart,AU,2021-05-31 15:21:30,overcast clouds,-42.8794,147.3294,46.06,78,100,4.0
30,Sorsk,RU,2021-05-31 15:23:56,clear sky,54.0033,90.2467,46.08,66,10,4.0
31,Batemans Bay,AU,2021-05-31 15:23:56,clear sky,-35.7167,150.1833,43.92,79,9,4.88
32,Asau,RO,2021-05-31 15:19:47,overcast clouds,46.4333,26.4,60.28,73,100,5.12
33,Santiago Del Estero,AR,2021-05-31 15:23:40,clear sky,-27.7951,-64.2615,66.72,29,0,9.33
