City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hohhot,CN,2021-05-28 01:21:19,clear sky,40.8106,111.6522,59.29,31,0,5.53
1,East London,ZA,2021-05-28 01:21:19,clear sky,-33.0153,27.9116,61.77,77,1,8.23
2,Busselton,AU,2021-05-28 01:21:20,clear sky,-33.65,115.3333,65.05,63,1,12.19
3,Hobart,AU,2021-05-28 01:19:22,scattered clouds,-42.8794,147.3294,49.86,60,40,3.0
4,Vanavara,RU,2021-05-28 01:21:20,overcast clouds,60.34,102.2797,52.27,38,94,9.57
5,Mar Del Plata,AR,2021-05-28 01:17:40,clear sky,-38.0023,-57.5575,64.0,51,0,8.99
6,Esperance,AU,2021-05-28 01:21:21,clear sky,-33.8667,121.9,58.84,48,0,16.24
7,Rikitea,PF,2021-05-28 01:21:21,scattered clouds,-23.1203,-134.9692,71.17,58,32,4.41
8,Yellowknife,CA,2021-05-28 01:21:21,broken clouds,62.456,-114.3525,59.29,38,75,1.99
9,Butaritari,KI,2021-05-28 01:21:21,overcast clouds,3.0707,172.7902,84.11,78,100,17.36
10,Faya,SA,2021-05-28 01:21:22,clear sky,18.3851,42.4509,66.31,23,7,5.1
11,General Roca,AR,2021-05-28 01:21:22,clear sky,-39.0333,-67.5833,59.4,29,0,25.93
12,Mataura,NZ,2021-05-28 01:21:22,overcast clouds,-46.1927,168.8643,49.48,91,100,2.73
13,Hilo,US,2021-05-28 01:21:23,light rain,19.7297,-155.09,82.27,72,20,11.5
14,Port Hardy,CA,2021-05-28 01:21:23,moderate rain,50.6996,-127.4199,50.18,87,75,9.22
15,Nikolskoye,RU,2021-05-28 01:21:23,scattered clouds,59.7035,30.7861,50.4,99,32,3.91
16,Kaitangata,NZ,2021-05-28 01:21:24,light rain,-46.2817,169.8464,45.72,93,100,2.89
17,Lebu,CL,2021-05-28 01:21:24,scattered clouds,-37.6167,-73.65,53.82,84,47,11.14
18,Korla,CN,2021-05-28 01:20:24,clear sky,41.7597,86.1469,78.3,14,2,1.72
19,Chokurdakh,RU,2021-05-28 01:21:24,overcast clouds,70.6333,147.9167,43.5,56,100,12.06
20,Bredasdorp,ZA,2021-05-28 01:21:25,overcast clouds,-34.5322,20.0403,63.28,63,100,8.63
21,Punta Arenas,CL,2021-05-28 01:21:25,light snow,-53.15,-70.9167,32.02,86,0,14.2
22,Laguna,US,2021-05-28 01:20:57,clear sky,38.421,-121.4238,90.75,37,1,5.99
23,General Pico,AR,2021-05-28 01:21:13,overcast clouds,-35.6566,-63.7568,57.94,60,100,8.63
24,San Patricio,US,2021-05-28 01:21:26,scattered clouds,28.017,-97.5169,83.12,85,28,16.08
25,Kifri,IQ,2021-05-28 01:21:26,clear sky,34.6959,44.9661,85.71,16,0,8.46
26,Tilichiki,RU,2021-05-28 01:21:26,overcast clouds,60.4667,166.1,35.55,91,100,10.54
27,Celestun,MX,2021-05-28 01:21:26,overcast clouds,20.8667,-90.4,80.55,74,93,18.41
28,Vaini,TO,2021-05-28 01:21:27,few clouds,-21.2,-175.2,77.16,73,20,10.36
29,Kodiak,US,2021-05-28 01:21:27,clear sky,57.79,-152.4072,58.51,58,1,10.36
30,Mercedes,AR,2021-05-28 01:21:27,few clouds,-34.6515,-59.4307,61.86,91,11,8.21
31,Avarua,CK,2021-05-28 01:21:28,light rain,-21.2078,-159.775,84.25,79,75,14.97
32,Port Lincoln,AU,2021-05-28 01:21:28,overcast clouds,-34.7333,135.8667,61.16,60,100,10.16
33,Fare,PF,2021-05-28 01:21:28,clear sky,-16.7,-151.0167,80.19,72,10,7.25
34,Cidreira,BR,2021-05-28 01:21:29,clear sky,-30.1811,-50.2056,60.28,75,0,8.32
35,Ushuaia,AR,2021-05-28 01:21:29,light snow,-54.8,-68.3,28.06,100,75,17.27
36,Torbay,CA,2021-05-28 01:21:29,overcast clouds,47.6666,-52.7314,54.75,96,90,18.41
37,Labuhan,ID,2021-05-28 01:21:29,broken clouds,-6.8844,112.2051,82.69,76,54,6.82
38,Lompoc,US,2021-05-28 01:21:30,overcast clouds,34.6391,-120.4579,70.57,77,90,16.11
39,Monrovia,LR,2021-05-28 01:19:57,light rain,6.3005,-10.7969,78.57,82,20,6.17
40,Poum,NC,2021-05-28 01:21:30,overcast clouds,-20.2333,164.0167,73.72,68,86,9.44
41,Kirensk,RU,2021-05-28 01:21:31,clear sky,57.7853,108.1119,53.73,37,7,4.0
42,Pedernales,DO,2021-05-28 01:21:31,few clouds,18.0384,-71.744,80.56,75,19,6.33
43,Hermanus,ZA,2021-05-28 01:21:31,overcast clouds,-34.4187,19.2345,63.81,76,100,14.03
44,Alofi,NU,2021-05-28 01:21:31,scattered clouds,-19.0595,-169.9187,82.29,74,40,8.05
45,Haines Junction,CA,2021-05-28 01:21:32,overcast clouds,60.7522,-137.5108,53.55,40,100,14.97
46,Thompson,CA,2021-05-28 01:21:32,scattered clouds,55.7435,-97.8558,53.76,30,40,11.5
47,Gillette,US,2021-05-28 01:21:32,clear sky,44.2911,-105.5022,56.86,57,1,5.01
48,Cape Town,ZA,2021-05-28 01:20:10,moderate rain,-33.9258,18.4232,58.87,91,90,4.0
49,Faanui,PF,2021-05-28 01:21:33,few clouds,-16.4833,-151.75,81.0,67,24,9.17
50,Leon,MX,2021-05-28 01:19:49,broken clouds,21.1167,-101.6667,86.14,50,59,11.32
51,Kampong Thum,KH,2021-05-28 01:21:33,overcast clouds,12.7111,104.8887,80.56,82,100,3.49
52,Muros,ES,2021-05-28 01:21:33,overcast clouds,42.7762,-9.0603,61.23,71,87,5.82
53,Khatanga,RU,2021-05-28 01:21:34,overcast clouds,71.9667,102.5,30.83,84,96,11.5
