City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Butaritari,KI,82.6,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
11,Piacabucu,BR,82.71,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
37,Benguela,AO,83.68,clear sky,-12.5763,13.4055,Hotel Praia Morena
38,Muros,ES,82.9,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
41,Coaraci,BR,80.04,overcast clouds,-14.6408,-39.5511,Pousada Alternativa Coaraci
43,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Aketi,CD,82.63,overcast clouds,2.7388,23.7833,
48,Ishigaki,JP,80.8,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
49,Veraval,IN,83.82,broken clouds,20.9,70.3667,Lords Inn Somnath
50,San Patricio,US,84.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
74,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
87,Bac Lieu,VN,82.96,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
88,Safford,US,83.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
99,Zhanaozen,KZ,80.58,clear sky,43.3,52.8,K.korabay 28A
103,Hithadhoo,MV,84.07,broken clouds,-0.6,73.0833,Scoop Guest House
109,Socorro,US,83.1,clear sky,31.6546,-106.3033,guarderia imss papalote
122,Bacungan,PH,80.65,scattered clouds,9.9106,118.7022,Sumayang Property
123,Carmen,MX,82.44,scattered clouds,18.6333,-91.8333,Hotel Lossandes
144,Gamba,GA,81.34,broken clouds,-2.65,10.0,
154,Sabang,ID,82.98,overcast clouds,5.8933,95.3214,Hotel Citra
162,Kavaratti,IN,83.77,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
168,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
171,Feijo,BR,80.87,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
183,Wanning,CN,83.34,overcast clouds,18.8003,110.3967,Paradise Hotel
194,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
195,Matara,LK,80.47,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
197,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
207,Saint George,US,82.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
216,Inirida,CO,84.11,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
