City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-05-31 15:24:18,scattered clouds,-9.8,-139.0333,78.66,70,25,11.88
1,Cape Town,ZA,2021-05-31 15:32:31,light rain,-33.9258,18.4232,60.28,84,75,3.0
2,Yellowknife,CA,2021-05-31 15:21:33,few clouds,62.456,-114.3525,47.32,63,20,5.01
3,Punta Arenas,CL,2021-05-31 15:32:18,clear sky,-53.15,-70.9167,32.02,80,0,3.47
4,Roald,NO,2021-05-31 15:26:34,clear sky,62.5833,6.1333,74.16,72,0,13.8
5,Mar Del Plata,AR,2021-05-31 15:31:13,broken clouds,-38.0023,-57.5575,61.09,53,75,1.01
6,New Norfolk,AU,2021-05-31 15:24:53,overcast clouds,-42.7826,147.0587,45.72,84,100,1.01
7,Mataura,NZ,2021-05-31 15:33:59,overcast clouds,-46.1927,168.8643,49.48,96,99,1.86
8,Butaritari,KI,2021-05-31 15:24:24,scattered clouds,3.0707,172.7902,82.6,77,36,15.99
9,Bengkulu,ID,2021-05-31 15:24:23,overcast clouds,-3.8004,102.2655,78.48,87,100,2.42
10,Thompson,CA,2021-05-31 15:21:53,overcast clouds,55.7435,-97.8558,55.56,62,90,4.61
11,Piacabucu,BR,2021-05-31 15:34:00,scattered clouds,-10.4056,-36.4344,82.71,66,34,8.14
12,Carutapera,BR,2021-05-31 15:26:58,few clouds,-1.195,-46.02,87.48,59,19,6.91
13,Batagay,RU,2021-05-31 15:24:41,overcast clouds,67.6333,134.6333,45.79,87,98,2.01
14,Arraial Do Cabo,BR,2021-05-31 15:22:02,overcast clouds,-22.9661,-42.0278,73.36,88,90,10.36
15,Okhotsk,RU,2021-05-31 15:26:15,overcast clouds,59.3833,143.3,38.62,87,100,5.88
16,Vaini,TO,2021-05-31 15:24:09,overcast clouds,-21.2,-175.2,71.76,88,90,10.36
17,Fairbanks,US,2021-05-31 15:26:51,broken clouds,64.8378,-147.7164,57.22,67,75,4.61
18,Severo-Kurilsk,RU,2021-05-31 15:26:20,light rain,50.6789,156.125,37.04,98,100,27.81
19,Busselton,AU,2021-05-31 15:34:01,overcast clouds,-33.65,115.3333,51.08,85,98,5.86
20,Ushuaia,AR,2021-05-31 15:34:01,broken clouds,-54.8,-68.3,31.66,80,75,0.0
21,Albany,US,2021-05-31 15:34:02,overcast clouds,42.6001,-73.9662,54.81,81,100,7.0
22,Hermanus,ZA,2021-05-31 15:23:11,light rain,-34.4187,19.2345,58.89,76,53,10.04
23,Bilibino,RU,2021-05-31 15:29:29,few clouds,68.0546,166.4372,47.07,58,18,2.04
24,Rikitea,PF,2021-05-31 15:34:02,clear sky,-23.1203,-134.9692,73.99,66,0,13.35
25,Narsaq,GL,2021-05-31 15:24:10,broken clouds,60.9167,-46.05,46.62,57,82,7.0
26,Sinnamary,GF,2021-05-31 15:28:31,moderate rain,5.3833,-52.95,76.12,94,100,8.84
27,Motygino,RU,2021-05-31 15:29:09,clear sky,58.1831,94.7592,46.87,68,3,4.12
28,Saskylakh,RU,2021-05-31 15:21:51,broken clouds,71.9167,114.0833,46.63,72,68,13.49
29,Nanortalik,GL,2021-05-31 15:24:19,scattered clouds,60.1432,-45.2371,38.73,78,50,13.0
30,Cidreira,BR,2021-05-31 15:24:12,clear sky,-30.1811,-50.2056,58.1,42,0,7.87
31,Nimes,FR,2021-05-31 15:32:04,clear sky,43.8333,4.35,79.84,46,0,10.36
32,Hobart,AU,2021-05-31 15:30:04,overcast clouds,-42.8794,147.3294,47.05,77,100,3.0
33,Chokurdakh,RU,2021-05-31 15:34:04,scattered clouds,70.6333,147.9167,52.63,55,26,9.04
34,Vatava,RO,2021-05-31 15:34:05,broken clouds,46.9667,24.7667,57.04,76,74,3.31
35,Koluszki,PL,2021-05-31 15:34:05,broken clouds,51.7387,19.8199,64.02,56,84,8.72
36,Jamestown,US,2021-05-31 15:33:22,clear sky,42.097,-79.2353,65.17,41,1,5.01
37,Benguela,AO,2021-05-31 15:27:45,clear sky,-12.5763,13.4055,83.68,48,5,7.18
38,Muros,ES,2021-05-31 15:26:07,scattered clouds,42.7762,-9.0603,82.9,61,34,4.32
39,Sandpoint,US,2021-05-31 15:29:55,clear sky,48.2766,-116.5533,66.72,59,1,0.0
40,Tromso,NO,2021-05-31 15:34:06,broken clouds,69.6496,18.957,54.25,81,75,11.5
41,Coaraci,BR,2021-05-31 15:34:07,overcast clouds,-14.6408,-39.5511,80.04,89,85,4.43
42,Mirnyy,RU,2021-05-31 15:27:22,scattered clouds,62.5353,113.9611,55.15,63,34,5.82
43,Puerto Ayora,EC,2021-05-31 15:24:22,broken clouds,-0.7393,-90.3518,80.56,88,83,5.01
44,Ontario,US,2021-05-31 15:34:07,haze,34.0633,-117.6509,89.04,78,90,0.0
45,Tuatapere,NZ,2021-05-31 15:21:55,broken clouds,-46.1333,167.6833,49.82,85,78,1.45
46,Aketi,CD,2021-05-31 15:34:08,overcast clouds,2.7388,23.7833,82.63,68,99,4.36
47,Palapye,BW,2021-05-31 15:34:08,few clouds,-22.546,27.1251,61.54,60,16,8.52
48,Ishigaki,JP,2021-05-31 15:25:21,overcast clouds,24.3448,124.1572,80.8,86,99,13.02
49,Veraval,IN,2021-05-31 15:34:09,broken clouds,20.9,70.3667,83.82,77,60,13.8
50,San Patricio,US,2021-05-31 15:24:32,scattered clouds,28.017,-97.5169,84.07,68,43,15.26
51,East London,ZA,2021-05-31 15:25:04,clear sky,-33.0153,27.9116,65.34,63,0,3.44
52,Mabaruma,GY,2021-05-31 15:25:04,overcast clouds,8.2,-59.7833,75.13,98,99,3.13
53,Kapaa,US,2021-05-31 15:34:10,clear sky,22.0752,-159.319,71.58,88,1,3.31
54,Zabaykalsk,RU,2021-05-31 15:34:10,few clouds,49.6333,117.3167,43.02,85,24,19.6
55,Khatanga,RU,2021-05-31 15:25:37,moderate rain,71.9667,102.5,35.33,98,100,8.12
56,Dunedin,NZ,2021-05-31 15:26:01,overcast clouds,-45.8742,170.5036,44.8,84,100,11.99
57,Amarpur,IN,2021-05-31 15:34:11,overcast clouds,25.0333,86.9,88.52,63,95,9.98
58,Orangeburg,US,2021-05-31 15:34:11,clear sky,33.4918,-80.8557,75.04,56,1,6.91
59,Yar-Sale,RU,2021-05-31 15:26:33,clear sky,66.8333,70.8333,46.33,37,5,13.24
60,Vilyuysk,RU,2021-05-31 15:34:12,few clouds,63.7553,121.6247,51.13,48,19,1.57
61,Ambovombe,MG,2021-05-31 15:34:12,broken clouds,-25.1667,46.0833,68.67,74,66,13.02
62,Nome,US,2021-05-31 15:20:39,clear sky,64.5011,-165.4064,46.47,61,1,0.0
63,Castellamonte,IT,2021-05-31 15:34:13,scattered clouds,45.382,7.7121,72.95,64,46,3.29
64,Tau,NO,2021-05-31 15:34:13,scattered clouds,59.0667,5.9,70.16,85,41,3.29
65,Vila Do Maio,CV,2021-05-31 15:34:13,broken clouds,15.1333,-23.2167,79.59,84,58,17.27
66,Tourlaville,FR,2021-05-31 15:34:14,clear sky,49.6383,-1.5664,72.19,46,0,12.66
67,Price,US,2021-05-31 15:34:14,clear sky,39.5994,-110.8107,69.12,22,1,10.36
68,Canavieiras,BR,2021-05-31 15:34:15,overcast clouds,-15.675,-38.9472,79.59,70,89,7.05
69,Hilo,US,2021-05-31 15:30:16,moderate rain,19.7297,-155.09,77.29,94,90,4.61
70,Port Alfred,ZA,2021-05-31 15:34:15,overcast clouds,-33.5906,26.891,61.9,71,100,10.02
71,Puerto Escondido,MX,2021-05-31 15:34:16,clear sky,15.85,-97.0667,86.83,74,1,0.0
72,Pevek,RU,2021-05-31 15:24:50,scattered clouds,69.7008,170.3133,36.25,67,36,0.38
73,Ahipara,NZ,2021-05-31 15:24:26,clear sky,-35.1667,173.1667,57.97,78,8,12.97
74,Ixtapa,MX,2021-05-31 15:21:24,broken clouds,20.7,-105.2,80.22,65,75,0.0
75,General Roca,AR,2021-05-31 15:34:17,light rain,-39.0333,-67.5833,55.8,45,100,17.34
76,Lochristi,BE,2021-05-31 15:34:17,clear sky,51.1065,3.8566,78.98,45,2,8.97
77,Andenes,NO,2021-05-31 15:30:15,broken clouds,69.3143,16.1194,53.08,81,75,12.66
78,Ponta Do Sol,PT,2021-05-31 15:24:42,broken clouds,32.6667,-17.1,71.01,72,58,2.55
79,Kununurra,AU,2021-05-31 15:28:54,few clouds,-15.7667,128.7333,64.38,77,22,0.0
80,Biysk,RU,2021-05-31 15:34:18,clear sky,52.5364,85.2072,59.23,75,5,9.04
81,Clairmont,CA,2021-05-31 15:34:19,scattered clouds,55.2667,-118.786,61.16,59,40,10.36
82,Ekhabi,RU,2021-05-31 15:34:19,few clouds,53.5102,142.9671,33.87,87,12,8.75
83,Gisborne,NZ,2021-05-31 15:34:20,overcast clouds,-38.6533,178.0042,46.94,86,99,8.23
84,Kaitangata,NZ,2021-05-31 15:25:06,overcast clouds,-46.2817,169.8464,46.92,84,94,5.46
85,Buala,SB,2021-05-31 15:34:20,light rain,-8.145,159.5921,78.78,87,70,6.31
86,Fort Nelson,CA,2021-05-31 15:26:17,scattered clouds,58.8053,-122.7002,56.79,54,40,3.44
87,Bac Lieu,VN,2021-05-31 15:34:21,scattered clouds,9.285,105.7244,82.96,82,34,6.96
88,Safford,US,2021-05-31 15:28:04,clear sky,32.834,-109.7076,83.32,21,1,13.8
89,Qaanaaq,GL,2021-05-31 15:34:21,overcast clouds,77.484,-69.3632,33.22,89,100,2.35
90,Carnarvon,AU,2021-05-31 15:34:22,clear sky,-24.8667,113.6333,60.87,88,1,9.22
91,Port Hedland,AU,2021-05-31 15:34:22,broken clouds,-20.3167,118.5667,69.85,88,80,5.75
92,Port Hardy,CA,2021-05-31 15:25:19,overcast clouds,50.6996,-127.4199,57.38,88,90,0.0
93,Bambous Virieux,MU,2021-05-31 15:24:22,scattered clouds,-20.3428,57.7575,74.21,83,40,9.48
94,Barrow,US,2021-05-31 15:32:40,overcast clouds,71.2906,-156.7887,28.42,74,90,11.5
95,Nisia Floresta,BR,2021-05-31 15:24:11,broken clouds,-6.0911,-35.2086,85.01,75,77,11.72
96,Hualmay,PE,2021-05-31 15:28:03,overcast clouds,-11.0964,-77.6139,67.64,78,97,6.69
97,Bredasdorp,ZA,2021-05-31 15:34:12,few clouds,-34.5322,20.0403,61.92,63,24,7.76
98,Torbay,CA,2021-05-31 15:26:36,few clouds,47.6666,-52.7314,66.97,32,20,13.8
99,Zhanaozen,KZ,2021-05-31 15:34:23,clear sky,43.3,52.8,80.58,31,0,16.93
100,Coquimbo,CL,2021-05-31 15:22:08,clear sky,-29.9533,-71.3436,62.33,67,0,7.18
101,Airai,TL,2021-05-31 15:27:00,overcast clouds,-8.9266,125.4092,59.61,96,95,1.97
102,Hamilton,US,2021-05-31 15:29:39,clear sky,39.1834,-84.5333,68.95,60,1,1.01
103,Hithadhoo,MV,2021-05-31 15:26:26,broken clouds,-0.6,73.0833,84.07,70,82,16.64
104,Lavrentiya,RU,2021-05-31 15:26:22,few clouds,65.5833,-171.0,28.94,87,22,8.93
105,Clyde River,CA,2021-05-31 15:25:14,clear sky,70.4692,-68.5914,25.03,100,1,4.61
106,Oktyabrskiy,RU,2021-05-31 15:34:24,overcast clouds,54.4815,53.471,51.44,86,91,9.62
107,Leshukonskoye,RU,2021-05-31 15:34:25,broken clouds,64.8989,45.7622,56.53,51,72,9.04
108,Talnakh,RU,2021-05-31 15:24:52,overcast clouds,69.4865,88.3972,32.9,89,100,7.25
109,Socorro,US,2021-05-31 15:34:26,clear sky,31.6546,-106.3033,83.1,44,1,12.37
110,Maarianhamina,AX,2021-05-31 15:34:26,clear sky,60.0973,19.9348,60.66,48,0,18.41
111,Hasaki,JP,2021-05-31 15:34:26,light rain,35.7333,140.8333,61.29,73,88,7.18
112,Bakchar,RU,2021-05-31 15:34:27,few clouds,57.0186,82.0711,65.7,73,15,10.47
113,Wuchi,CN,2021-05-31 15:34:28,broken clouds,29.3786,103.023,57.52,93,73,1.25
114,Sao Filipe,CV,2021-05-31 15:34:28,clear sky,14.8961,-24.4956,74.77,74,10,15.3
115,Bubaque,GW,2021-05-31 15:26:44,overcast clouds,11.2833,-15.8333,78.58,75,100,12.08
116,Port Elizabeth,ZA,2021-05-31 15:34:28,clear sky,-33.918,25.5701,61.09,72,0,24.16
117,Norman Wells,CA,2021-05-31 15:29:38,overcast clouds,65.282,-126.8329,50.04,71,90,2.3
118,Tain,GB,2021-05-31 15:34:29,broken clouds,57.809,-4.0599,74.75,72,71,5.01
119,Rawson,AR,2021-05-31 15:20:50,overcast clouds,-43.3002,-65.1023,46.71,69,100,11.54
120,Faridkot,IN,2021-05-31 15:34:29,broken clouds,30.6667,74.75,86.92,38,84,20.98
121,Longyearbyen,SJ,2021-05-31 15:25:34,broken clouds,78.2186,15.6401,35.44,69,75,10.36
